ABS_TIME,Weekday,Month,Day,Year,Stop,Line,Current Time,ETA,CURRENT,PREDICTION
1412136000,3,10,1,2014,BUS117SW,5B,3:56:00 PM,4:41:00 PM,57360,60060
1412136000,3,10,1,2014,BUS426,17,3:56:00 PM,4:06:00 PM,57360,57960
1412136000,3,10,1,2014,BUS426,17,3:56:00 PM,4:13:00 PM,57360,58380
1412136000,3,10,1,2014,BUS426,17,3:56:00 PM,4:26:00 PM,57360,59160
1412136000,3,10,1,2014,BUS426,17,3:56:00 PM,4:33:00 PM,57360,59580
1412136000,3,10,1,2014,BUS426,17,3:56:00 PM,4:46:00 PM,57360,60360
1412136000,3,10,1,2014,BUS426,17,3:56:00 PM,4:53:00 PM,57360,60780
1412136000,3,10,1,2014,BUS115S,5B,3:56:00 PM,4:08:00 PM,57360,58080
1412136000,3,10,1,2014,BUS115S,5B,3:56:00 PM,4:39:00 PM,57360,59940
1412136000,3,10,1,2014,BUS631W,5B,3:56:30 PM,4:05:30 PM,57390,57930
1412136000,3,10,1,2014,BUS631W,5B,3:56:30 PM,4:37:30 PM,57390,59850
1412136000,3,10,1,2014,BUS118NW,5B,3:56:30 PM,4:10:30 PM,57390,58230
1412136000,3,10,1,2014,BUS118NW,5B,3:56:30 PM,4:42:30 PM,57390,60150
1412136000,3,10,1,2014,BUS347,17,3:56:30 PM,4:01:30 PM,57390,57690
1412136000,3,10,1,2014,BUS347,17,3:56:30 PM,4:09:30 PM,57390,58170
1412136000,3,10,1,2014,BUS347,17,3:56:30 PM,4:21:30 PM,57390,58890
1412136000,3,10,1,2014,BUS347,17,3:56:30 PM,4:29:30 PM,57390,59370
1412136000,3,10,1,2014,BUS347,17,3:56:30 PM,4:41:30 PM,57390,60090
1412136000,3,10,1,2014,BUS190,17,3:56:30 PM,4:07:30 PM,57390,58050
1412136000,3,10,1,2014,BUS190,17,3:56:30 PM,4:16:30 PM,57390,58590
1412136000,3,10,1,2014,BUS944N,5B,3:56:30 PM,4:28:30 PM,57390,59310
1412136000,3,10,1,2014,BUS944N,5B,3:56:30 PM,4:53:30 PM,57390,60810
1412136000,3,10,1,2014,BUS944S,5B,3:56:30 PM,4:08:30 PM,57390,58110
1412136000,3,10,1,2014,BUS944S,5B,3:56:30 PM,4:40:30 PM,57390,60030
1412136000,3,10,1,2014,BUS114W,5B,3:56:30 PM,4:06:30 PM,57390,57990
1412136000,3,10,1,2014,BUS114W,5B,3:56:30 PM,4:38:30 PM,57390,59910
1412136000,3,10,1,2014,BUS945SW,5B,3:56:30 PM,4:08:30 PM,57390,58110
1412136000,3,10,1,2014,BUS945SW,5B,3:56:30 PM,4:40:30 PM,57390,60030
1412136000,3,10,1,2014,BUS113NW,5B,3:56:30 PM,4:06:30 PM,57390,57990
1412136000,3,10,1,2014,BUS113NW,5B,3:56:30 PM,4:38:30 PM,57390,59910
1412136000,3,10,1,2014,BUS563,5B,3:56:30 PM,4:14:30 PM,57390,58470
1412136000,3,10,1,2014,BUS563,5B,3:56:30 PM,4:40:30 PM,57390,60030
1412136000,3,10,1,2014,BUS117SW,5B,3:56:30 PM,4:09:30 PM,57390,58170
1412136000,3,10,1,2014,BUS117SW,5B,3:56:30 PM,4:41:30 PM,57390,60090
1412136000,3,10,1,2014,BUS426,17,3:56:30 PM,4:04:30 PM,57390,57870
1412136000,3,10,1,2014,BUS426,17,3:56:30 PM,4:12:30 PM,57390,58350
1412136000,3,10,1,2014,BUS426,17,3:56:30 PM,4:24:30 PM,57390,59070
1412136000,3,10,1,2014,BUS426,17,3:56:30 PM,4:32:30 PM,57390,59550
1412136000,3,10,1,2014,BUS426,17,3:56:30 PM,4:44:30 PM,57390,60270
1412136000,3,10,1,2014,BUS426,17,3:56:30 PM,4:52:30 PM,57390,60750
1412136000,3,10,1,2014,BUS115S,5B,3:56:30 PM,4:07:30 PM,57390,58050
1412136000,3,10,1,2014,BUS115S,5B,3:56:30 PM,4:39:30 PM,57390,59970
1412136000,3,10,1,2014,BUS631W,5B,3:58:00 PM,4:05:00 PM,57480,57900
1412136000,3,10,1,2014,BUS118NW,5B,3:58:00 PM,4:10:00 PM,57480,58200
1412136000,3,10,1,2014,BUS347,17,3:58:00 PM,3:59:00 PM,57480,57540
1412136000,3,10,1,2014,BUS347,17,3:58:00 PM,4:10:00 PM,57480,58200
1412136000,3,10,1,2014,BUS347,17,3:58:00 PM,4:19:00 PM,57480,58740
1412136000,3,10,1,2014,BUS347,17,3:58:00 PM,4:30:00 PM,57480,59400
1412136000,3,10,1,2014,BUS347,17,3:58:00 PM,4:39:00 PM,57480,59940
1412136000,3,10,1,2014,BUS190,17,3:58:00 PM,4:06:00 PM,57480,57960
1412136000,3,10,1,2014,BUS190,17,3:58:00 PM,4:17:00 PM,57480,58620
1412136000,3,10,1,2014,BUS944N,5B,3:58:00 PM,4:54:00 PM,57480,60840
1412136000,3,10,1,2014,BUS944S,5B,3:58:00 PM,4:08:00 PM,57480,58080
1412136000,3,10,1,2014,BUS114W,5B,3:58:00 PM,4:07:00 PM,57480,58020
1412136000,3,10,1,2014,BUS631W,5B,3:59:00 PM,4:04:00 PM,57540,57840
1412136000,3,10,1,2014,BUS631W,5B,3:59:00 PM,4:39:00 PM,57540,59940
1412136000,3,10,1,2014,BUS118NW,5B,3:59:00 PM,4:09:00 PM,57540,58140
1412136000,3,10,1,2014,BUS118NW,5B,3:59:00 PM,4:43:00 PM,57540,60180
1412136000,3,10,1,2014,BUS347,17,3:59:00 PM,4:08:00 PM,57540,58080
1412136000,3,10,1,2014,BUS347,17,3:59:00 PM,4:18:00 PM,57540,58680
1412136000,3,10,1,2014,BUS347,17,3:59:00 PM,4:28:00 PM,57540,59280
1412136000,3,10,1,2014,BUS347,17,3:59:00 PM,4:38:00 PM,57540,59880
1412136000,3,10,1,2014,BUS190,17,3:59:00 PM,4:04:00 PM,57540,57840
1412136000,3,10,1,2014,BUS190,17,3:59:00 PM,4:15:00 PM,57540,58500
1412136000,3,10,1,2014,BUS944N,5B,3:59:00 PM,4:29:00 PM,57540,59340
1412136000,3,10,1,2014,BUS944N,5B,3:59:00 PM,4:54:00 PM,57540,60840
1412136000,3,10,1,2014,BUS944S,5B,3:59:00 PM,4:07:00 PM,57540,58020
1412136000,3,10,1,2014,BUS944S,5B,3:59:00 PM,4:41:00 PM,57540,60060
1412136000,3,10,1,2014,BUS114W,5B,3:59:00 PM,4:05:00 PM,57540,57900
1412136000,3,10,1,2014,BUS114W,5B,3:59:00 PM,4:40:00 PM,57540,60000
1412136000,3,10,1,2014,BUS945SW,5B,3:59:00 PM,4:07:00 PM,57540,58020
1412136000,3,10,1,2014,BUS945SW,5B,3:59:00 PM,4:41:00 PM,57540,60060
1412136000,3,10,1,2014,BUS113NW,5B,3:59:00 PM,4:05:00 PM,57540,57900
1412136000,3,10,1,2014,BUS113NW,5B,3:59:00 PM,4:39:00 PM,57540,59940
1412136000,3,10,1,2014,BUS563,5B,3:59:00 PM,4:16:00 PM,57540,58560
1412136000,3,10,1,2014,BUS563,5B,3:59:00 PM,4:41:00 PM,57540,60060
1412136000,3,10,1,2014,BUS117SW,5B,3:59:00 PM,4:08:00 PM,57540,58080
1412136000,3,10,1,2014,BUS117SW,5B,3:59:00 PM,4:43:00 PM,57540,60180
1412136000,3,10,1,2014,BUS426,17,3:59:00 PM,4:01:00 PM,57540,57660
1412136000,3,10,1,2014,BUS426,17,3:59:00 PM,4:12:00 PM,57540,58320
1412136000,3,10,1,2014,BUS426,17,3:59:00 PM,4:21:00 PM,57540,58860
1412136000,3,10,1,2014,BUS426,17,3:59:00 PM,4:32:00 PM,57540,59520
1412136000,3,10,1,2014,BUS426,17,3:59:00 PM,4:41:00 PM,57540,60060
1412136000,3,10,1,2014,BUS426,17,3:59:00 PM,4:52:00 PM,57540,60720
1412136000,3,10,1,2014,BUS115S,5B,3:59:00 PM,4:06:00 PM,57540,57960
1412136000,3,10,1,2014,BUS115S,5B,3:59:00 PM,4:40:00 PM,57540,60000
1412136000,3,10,1,2014,BUS631W,5B,3:59:30 PM,4:04:30 PM,57570,57870
1412136000,3,10,1,2014,BUS631W,5B,3:59:30 PM,4:38:30 PM,57570,59910
1412136000,3,10,1,2014,BUS118NW,5B,3:59:30 PM,4:08:30 PM,57570,58110
1412136000,3,10,1,2014,BUS118NW,5B,3:59:30 PM,4:43:30 PM,57570,60210
1412136000,3,10,1,2014,BUS347,17,3:59:30 PM,4:08:30 PM,57570,58110
1412136000,3,10,1,2014,BUS347,17,3:59:30 PM,4:17:30 PM,57570,58650
1412136000,3,10,1,2014,BUS347,17,3:59:30 PM,4:28:30 PM,57570,59310
1412136000,3,10,1,2014,BUS347,17,3:59:30 PM,4:37:30 PM,57570,59850
1412136000,3,10,1,2014,BUS190,17,3:59:30 PM,4:04:30 PM,57570,57870
1412136000,3,10,1,2014,BUS190,17,3:59:30 PM,4:15:30 PM,57570,58530
1412136000,3,10,1,2014,BUS190,17,3:59:30 PM,4:24:30 PM,57570,59070
1412136000,3,10,1,2014,BUS944N,5B,3:59:30 PM,4:28:30 PM,57570,59310
1412136000,3,10,1,2014,BUS944N,5B,3:59:30 PM,4:54:30 PM,57570,60870
1412136000,3,10,1,2014,BUS944S,5B,3:59:30 PM,4:06:30 PM,57570,57990
1412136000,3,10,1,2014,BUS944S,5B,3:59:30 PM,4:40:30 PM,57570,60030
1412136000,3,10,1,2014,BUS114W,5B,3:59:30 PM,4:05:30 PM,57570,57930
1412136000,3,10,1,2014,BUS114W,5B,3:59:30 PM,4:39:30 PM,57570,59970
1412136000,3,10,1,2014,BUS945SW,5B,3:59:30 PM,4:06:30 PM,57570,57990
1412136000,3,10,1,2014,BUS945SW,5B,3:59:30 PM,4:41:30 PM,57570,60090
1412136000,3,10,1,2014,BUS113NW,5B,3:59:30 PM,4:04:30 PM,57570,57870
1412136000,3,10,1,2014,BUS113NW,5B,3:59:30 PM,4:39:30 PM,57570,59970
1412136000,3,10,1,2014,BUS563,5B,3:59:30 PM,4:15:30 PM,57570,58530
1412136000,3,10,1,2014,BUS563,5B,3:59:30 PM,4:41:30 PM,57570,60090
1412136000,3,10,1,2014,BUS117SW,5B,3:59:30 PM,4:08:30 PM,57570,58110
1412136000,3,10,1,2014,BUS117SW,5B,3:59:30 PM,4:42:30 PM,57570,60150
1412136000,3,10,1,2014,BUS426,17,3:59:30 PM,4:01:30 PM,57570,57690
1412136000,3,10,1,2014,BUS426,17,3:59:30 PM,4:12:30 PM,57570,58350
1412136000,3,10,1,2014,BUS426,17,3:59:30 PM,4:21:30 PM,57570,58890
1412136000,3,10,1,2014,BUS426,17,3:59:30 PM,4:32:30 PM,57570,59550
1412136000,3,10,1,2014,BUS426,17,3:59:30 PM,4:41:30 PM,57570,60090
1412136000,3,10,1,2014,BUS426,17,3:59:30 PM,4:52:30 PM,57570,60750
1412136000,3,10,1,2014,BUS115S,5B,3:59:30 PM,4:05:30 PM,57570,57930
1412136000,3,10,1,2014,BUS115S,5B,3:59:30 PM,4:40:30 PM,57570,60030
1412136000,3,10,1,2014,BUS631W,5B,4:00:00 PM,4:03:00 PM,57600,57780
1412136000,3,10,1,2014,BUS631W,5B,4:00:00 PM,4:38:00 PM,57600,59880
1412136000,3,10,1,2014,BUS118NW,5B,4:00:00 PM,4:08:00 PM,57600,58080
1412136000,3,10,1,2014,BUS118NW,5B,4:00:00 PM,4:43:00 PM,57600,60180
1412136000,3,10,1,2014,BUS347,17,4:00:00 PM,4:09:00 PM,57600,58140
1412136000,3,10,1,2014,BUS347,17,4:00:00 PM,4:17:00 PM,57600,58620
1412136000,3,10,1,2014,BUS347,17,4:00:00 PM,4:29:00 PM,57600,59340
1412136000,3,10,1,2014,BUS347,17,4:00:00 PM,4:37:00 PM,57600,59820
1412136000,3,10,1,2014,BUS190,17,4:00:00 PM,4:04:00 PM,57600,57840
1412136000,3,10,1,2014,BUS190,17,4:00:00 PM,4:16:00 PM,57600,58560
